Restaurant,Longitude,Address,PlaceID,URL,AverageExposure,Stars,ZIP,Count,White,ofWhite,DWN,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot,Reviews,Amenities,Amenity_Count
Bahay Kubo Restaurant,-149.9150176,"3020 Minnesota Dr # 13, Anchorage, AK 99517, United States",ChIJveM8lKqXyFYRvxFOWNoeoWs,/biz/bahay-kubo-restaurant-anchorage?osq=Restaurants,0.069817751420294,3.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,65,"Takes Reservations
Offers Takeout
No Delivery
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Trendy
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Dessert
Free Wi-Fi
Beer & Wine Only
TV
No Outdoor Seating
Bike Parking",15
Bear Paw Bar & Grill,-149.8852071,"190 W Tudor Rd, Anchorage, AK 99503, United States",ChIJ_8gNNrWXyFYRyENIHTSapfk,/biz/bear-paw-bar-and-grill-anchorage?osq=Restaurants,0.238801439912492,3.4,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,163,"Offers Delivery
Offers Takeout
No Reservations
Vegan Options
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Outdoor Seating
Casual, Trendy
Moderate Noise
Good for Groups
Good for Dinner
Private Lot Parking
Waiter Service
Best nights on Tuesday, Sunday
Full Bar
TV
No Happy Hour
No Smoking
Bike Parking
Provides reusable tableware",18
Bear Tooth Grill,-149.9070257,"1230 W 27th Ave, Anchorage, AK 99503, United States",ChIJM_p-3NuXyFYRo0t0DbH0yow,/biz/bear-tooth-grill-anchorage-2?osq=Restaurants,0.152307095530541,4.1,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1,198,"Offers Takeout
No Reservations
No Delivery
Vegan Options
Many Vegetarian Options
Outdoor Seating
Hipster, Casual, Trendy
Moderate Noise
Good for Groups
Good For Kids
Good for Dinner
Private Lot Parking
Waiter Service
Full Bar
TV
Provides reusable tableware",14
Bear Tooth Theatre Pub,-149.9070257,"1230 W 27th Ave, Anchorage, AK 99503, United States",ChIJM_p-3NuXyFYRo0t0DbH0yow,/biz/bear-tooth-theatre-pub-anchorage?osq=Restaurants,0.179510256593442,4.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,467,"Offers Takeout
No Reservations
No Delivery
Vegan Options",2
Benihana,-149.9041695,"1100 W 8th Ave, Anchorage, AK 99501, United States",ChIJqZRXtoG9yFYRZVZgi8zHwgc,/biz/benihana-anchorage?osq=Restaurants,0.0127639444969497,3.9,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0,193,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Many Vegetarian Options
Accepts Credit Cards
Accepts Apple Pay
Casual, Trendy
Moderate Noise
Casual Dress
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
Happy Hour Specials
Full Bar
TV
No Outdoor Seating
No Wi-Fi
Dogs Not Allowed
No Heated Outdoor Seating
No Covered Outdoor Seating
No Private Dining
Bike Parking",19
Benji's Bakery & Cafe,-149.8664402,"901 E Dimond Blvd C, Anchorage, AK 99515, United States",ChIJYeIhHAOZyFYRpbkyKcPchso,/biz/benjis-bakery-and-cafe-anchorage?osq=Restaurants,0.142624383391891,4.6,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,188,"Offers Takeout
Gluten-Free Options
Limited Vegetarian Options
Accepts Credit Cards",4
Benny's Food Wagon,-149.9023095,"913 Photo Ave, Anchorage, AK 99503, United States",ChIJYyojDduXyFYRvDsbhFEu1Dc,/biz/bennys-food-wagon-anchorage?osq=Restaurants,0.0211688521751508,4.5,99515,39,15252,68.6,1,1,471,2.1,0,1002,4.5,0,1635,7.4,0,711,3.2,1,1098,39.0,1,4.0,1,106755,1,0,1,28,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Quiet
Good For Kids
Private Lot Parking
TV
No Outdoor Seating
Offers Catering
Not Good For Groups
No Wi-Fi
No Alcohol
Bike Parking",9
Birch & Alder,-149.5168105,"27635 Seward Hwy, Anchorage, AK 99540, United States",ChIJ5Q9SgbaHyFYRvc4RF1WxE8U,/biz/birch-and-alder-anchorage?osq=Restaurants,0.300275751106455,4.8,99540,4,282,93.7,1,1,10,3.3,0,9,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,80938,0,1,0,13,"Not wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Casual, Trendy
Offers Catering
Beer & Wine Only
Drive-Thru
Private Dining
Gender-neutral restrooms
Open to All
No Waiter Service
No TV
Bike Parking
Bring your own container allowed
Compostable containers available
Plastic-free packaging
Provides reusable tableware",16
Biscuitclub,-149.8884748,"333 W 4th Ave, Anchorage, AK 99501, United States",ChIJfTrjFpaXyFYRlJtC6a6mUrY,/biz/biscuitclub-anchorage?osq=Restaurants,0.221226436290591,4.7,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,1,181,"Offers Delivery
Offers Takeout
No Reservations
Wheelchair accessible",3
Black Cup,-149.8783513,"341 E Benson Blvd, Anchorage, AK 99503, United States",ChIJDZLbhciXyFYRH4z_leQ0-wU,/biz/black-cup-anchorage-2?osq=Restaurants,0.078036222152327,4.3,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,156,"Offers Delivery
Offers Takeout
No Reservations
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Hipster, Trendy, Classy
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast, Dessert
Good for Working
Private Lot Parking
Free Wi-Fi
TV
Gender-neutral restrooms
Offers Catering
No Waiter Service
No Alcohol
Dogs Not Allowed
Bike Parking
Bring your own container allowed
Provides reusable tableware",19
Blaine's Kitchen,-149.8562609,"1436 E Tudor Rd, Anchorage, AK 99507, United States",ChIJIzzLpQWXyFYRPCb8lDgEr6A,/biz/blaines-kitchen-anchorage?osq=Restaurants,0.038249993003196,3.0,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,2,"Offers Delivery
Offers Takeout",2
Bombay Deluxe Indian Restaurant,-149.8942105,"555 W Northern Lights Blvd Suite 102, Anchorage, AK 99503, United States",ChIJ4VbdN8WXyFYRkUh77271fcQ,/biz/bombay-deluxe-indian-restaurant-anchorage-2?osq=Restaurants,0.046855120627121,3.5,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,254,"Takes Reservations
Offers Delivery
Offers Takeout
Vegan Options
Accepts Credit Cards
Accepts Apple Pay
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Dinner
Waiter Service
Beer & Wine Only
TV
No Outdoor Seating
No Wi-Fi
No Happy Hour
No Bike Parking",15
Bombay South Indian Cuisine,-149.8623281,"1120 Huffman Rd #5, Anchorage, AK 99515, United States",ChIJz_rLT0WZyFYRaFaU3_t1apo,/biz/bombay-south-indian-cuisine-anchorage?osq=Restaurants,0.0426187014530073,3.9,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0,18,"Offers Takeout
No Reservations
No Delivery
Many Vegetarian Options",2
Boom Ba Laddy's,-149.8630653,"8801 Old Seward Hwy, Anchorage, AK 99515, United States",ChIJAQAAALeXyFYRCXnYCqTlOAM,/biz/boom-ba-laddys-anchorage?osq=Restaurants,0.123739939402246,3.3,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,15,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Outdoor Seating
Classy
Good for Groups
Good For Kids
Private Lot Parking
TV
Bike Parking",9
Bread and Brew Alaska,-149.8535783,"1450 E Tudor Rd STE 100, Anchorage, AK 99507, United States",ChIJv_WokqOXyFYR2JBEcmv78To,/biz/bread-and-brew-alaska-anchorage?osq=Restaurants,0.19262954365029,4.0,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0,320,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Android Pay
Accepts Cryptocurrency
Outdoor Seating
Hipster, Casual, Trendy
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Street Parking, Private Lot Parking
Waiter Service
Best nights on Saturday
Beer & Wine Only
TV
Offers Military Discount
Gender-neutral restrooms
Not Good For Dancing
No Pool Table
No Wi-Fi
No Smoking
Dogs Not Allowed
Bike Parking",23
Bridge Seafood - Temp. CLOSED,-149.8857296,"221 W Ship Creek Ave, Anchorage, AK 99501, United States",ChIJbVcqGYi9yFYRUTkJd4n7R3E,/biz/bridge-seafood-anchorage?osq=Restaurants,0.16726089608159,3.8,99501,58,9223,57.8,1,0,1150,7.2,1,2000,12.5,1,1059,6.6,0,520,3.3,1,1160,34.8,0,7.2,1,61509,0,1,0,201,"Takes Reservations
Offers Takeout
No Delivery
Vegan Options",3
Brown Bear Saloon & Hotel,-149.4979858,"28065 Seward Hwy, Indian, AK 99540, United States",ChIJyXPNq1yHyFYRRLlCC8w1zR8,/biz/brown-bear-saloon-and-hotel-anchorage?osq=Restaurants,0.17865618356201,4.3,99540,4,282,93.7,1,1,10,3.3,0,9,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,80938,0,1,0,27,"Offers Takeout
No Reservations
No Delivery
Accepts Credit Cards
Outdoor Seating
Casual
Moderate Noise
Offers Catering
Good for Groups
Full Bar
TV
Not Good For Kids
No Wi-Fi",10
BurgerFi,-149.8722758,"600 E Northern Lights Blvd, Anchorage, AK 99503, United States",ChIJzQcOFsiXyFYRaUpvMcE3H90,/biz/burgerfi-anchorage-2?osq=Restaurants,0.021209786257921,3.2,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,1,203,"Offers Delivery
Offers Takeout
No Reservations
Vegan Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Outdoor Seating
Casual, Trendy
Moderate Noise
Good for Groups
Good For Kids
Good for Lunch
Private Lot Parking
Free Wi-Fi
Beer & Wine Only
Dogs Allowed
TV
Offers Catering
No Waiter Service
No Happy Hour
No Drive-Thru
Bike Parking",19
Burrito King,-149.8839018,"111 38th Pl, Anchorage, AK 99503, United States",ChIJr_gPmsCXyFYRiXZEHTEB4Lo,/biz/burrito-king-anchorage-5?osq=Restaurants,0.0680316447326473,3.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,45,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Casual, Classy
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch, Dinner
Private Lot Parking
TV
No Outdoor Seating
No Waiter Service
No Wi-Fi
No Alcohol
Bike Parking",15
Cafe Amsterdam,-149.8743743,"530 E Benson Blvd #3, Anchorage, AK 99503, United States",ChIJY6AnHMiXyFYRbOnE83yqXDQ,/biz/cafe-amsterdam-anchorage?osq=Restaurants,0.0492635257610953,3.1,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,1,165,"Offers Takeout
No Reservations
No Delivery
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Cryptocurrency
Casual
Moderate Noise
Good for Groups
Good For Kids
Good for Breakfast, Brunch, Lunch
Private Lot Parking
Waiter Service
Free Wi-Fi
Beer & Wine Only
No Outdoor Seating
Offers Catering
No Happy Hour
Dogs Not Allowed
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
Bike Parking",16
Cafecito Bonito,-149.7631398,"6307 DeBarr Rd A, Anchorage, AK 99504, United States",ChIJ5SNNaRSXyFYRmyLOzn6YZnQ,/biz/cafecito-bonito-anchorage?osq=Restaurants,0.064977682404333,3.4,99507,22,20110,55.2,1,0,1159,3.2,0,3042,8.4,1,6913,19.0,1,623,1.7,0,2127,30.2,0,4.7,1,88485,0,1,0,3,,0
Cajun Corner,-149.8957161,"302 G St, Anchorage, AK 99501, United States",ChIJzRcQ2bW9yFYRQ9Pu_Jr9Gco,/biz/cajun-corner-anchorage?osq=Restaurants,0.167137452949005,4.1,99518,21,6234,58.1,1,0,259,2.4,0,553,5.2,0,1298,12.1,1,192,1.8,0,587,21.2,0,3.0,0,84045,0,1,1,26,"Offers Delivery
Offers Takeout
Wheelchair accessible
Accepts Credit Cards
Outdoor Seating
Classy
Good for Groups
Waiter Service
Free Wi-Fi
Beer & Wine Only
TV
Private Dining
Offers Catering
No Happy Hour
No Drive-Thru
No Heated Outdoor Seating
No Covered Outdoor Seating
Bike Parking
Compostable containers available
Plastic-free packaging
Provides reusable tableware",17
Capri Pizza,-149.937812,"4505 Spenard Rd UNIT C, Anchorage, AK 99517, United States",ChIJfbrNHP2XyFYRurLTxu7j9n0,/biz/capri-pizza-anchorage?osq=Restaurants,0.0382161922223317,3.0,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,99,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Accepts Credit Cards
Casual, Classy
Quiet
Offers Catering
Good For Kids
Private Lot Parking
Waiter Service
No Outdoor Seating
Not Good For Groups
No Wi-Fi
No Happy Hour
No Alcohol
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
Bike Parking",12
Cecy's Pizza,-149.871535,"1172 Gambell St, Anchorage, AK 99501, United States",ChIJrbGt1tmXyFYRKGH3ldybKV0,/biz/cecys-pizza-anchorage?osq=Restaurants,0.0042125362705015,2.9,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,70,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Classy
Good for Groups
Good For Kids
Private Lot Parking
Free Wi-Fi
No Outdoor Seating
Offers Catering
No Waiter Service
No Happy Hour
No Alcohol
No Drive-Thru
No TV
No Heated Outdoor Seating
No Covered Outdoor Seating
No Private Dining
Compostable containers available
Plastic-free packaging
No Bike Parking",13
Charleys Cheesesteaks,-149.7663437,"Joint Military Mall, 5800 Westover Ave, Elmendorf AFB, AK 99506, United States",ChIJT2zJ6NSVyFYRvMQcG1A83Zk,/biz/charleys-philly-steaks-anchorage-3?osq=Restaurants,0.0982817678814087,4.8,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,10,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Wheelchair accessible
Accepts Credit Cards
Accepts Apple Pay
Good For Kids
TV
No Outdoor Seating
Not Good For Groups",9
Charlie's Bakery,-149.885609,"2729 C St, Anchorage, AK 99503, United States",ChIJZ62iY8-XyFYRypaZA-H87rI,/biz/charlies-bakery-anchorage?osq=Restaurants,0.164988031324196,4.3,99503,93,6167,47.4,0,0,1429,11.0,1,1206,9.3,1,1859,14.3,1,155,1.2,0,990,36.1,0,7.9,1,63338,0,0,0,325,"Offers Delivery
Offers Takeout
No Reservations
Many Vegetarian Options
Accepts Credit Cards
Accepts Android Pay
Accepts Apple Pay
Outdoor Seating
Casual
Moderate Noise
Offers Catering
Good for Groups
Good For Kids
Good for Lunch
Private Lot Parking
Free Wi-Fi
No Happy Hour
No Alcohol
Dogs Not Allowed
No TV
Bike Parking
Provides reusable tableware",17
